component,explained_variance,cumulative_variance
1,0.09143057,0.09143057
2,0.085639656,0.17707023
3,0.076454185,0.25352442
4,0.07494014,0.32846457
5,0.06878712,0.3972517
6,0.06573972,0.46299142
7,0.06414628,0.5271377
8,0.059824545,0.5869622
9,0.059508502,0.6464707
10,0.05837928,0.70485
11,0.05383638,0.7586864
12,0.041949444,0.8006359
13,0.040250678,0.84088653
14,0.035923753,0.8768103
15,0.033672135,0.91048247
16,0.028936934,0.9394194
17,0.020315291,0.9597347
18,0.017156597,0.9768913
19,0.013542974,0.9904342
20,0.009565832,1.0000001
21,2.8480992e-15,1.0000001
22,8.049613e-16,1.0000001
23,2.337561e-16,1.0000001
24,2.337561e-16,1.0000001
25,2.337561e-16,1.0000001
26,2.337561e-16,1.0000001
27,2.337561e-16,1.0000001
28,2.337561e-16,1.0000001
29,2.337561e-16,1.0000001
30,2.337561e-16,1.0000001
31,1.3010979e-16,1.0000001
