rival_n,input_deck_code,input_factions,input_total_cards,coverage_pct,cluster_assigned,dist_centroid,recommended_deck,recommended_player,recommended_rank,recommended_score,recommended_factions
1,CQCACBQCBIBAKCR2WYAQEBICC4NAIAICBAHSYMIFAECAEDYBAUFNKAIBAUBBKAIGAIUAEAICBMXACAIIBIDA,Bandle City|F08|Ionia,40,65.0,1,16.4697,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
2,CEBACBQBDUCACAISEYUCSBABAEBCSAIDAELACCABDACACAIBBMLB4CIBAEATOAICAECACAYBAIAQGAQIAEDACEQBAYBCAAIIAEJQEAICBMYQEBABBIGA,F08|F18|Freljord|Ionia|Noxus|Piltover & Zaun,38,81.6,1,11.1157,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
3,CQBACBQKF4AQMCJIA4AQGCJNAECQUHIBA4EQOAIIAUJAECAJAMDAKBIJAIBQKBQNAYDASBQKEESSSKYA,Bandle City|Mount Targon|Shadow Isles,40,37.5,1,10.2785,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
4,CQCACAIAGIAQQBISAEEQUAICBEAB6IQFAEAQKAIBAQAAMAIJAUGAECIKCIKAECIADYSAKAIBAAQACAIFB4AQOBICAIEQKDQPAYEQAIJHFAUSWLI,Bandle City|Demacia|F15|Freljord|Mount Targon|Shadow Isles,34,70.6,1,11.8559,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
5,CECQCBACBYAQMAQJAIAQEBQJAMAQKFIXGECQMBIMBYIBIJQCAEBQEFABAYCQ2AA,Ionia|Shadow Isles,40,87.5,1,10.1775,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
6,CEBAGBQAAYKSEBIGAUGBAFBGFYCQCAIFGEAQIAADAEDAAGABA4AAKAYGAUBQ2DQCAEDAAHABAYCQO,Bilgewater|Demacia|Freljord|Shadow Isles,40,80.0,1,10.1576,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
7,CEBQCCADBEAQQBJKAICAKNRXAYAQIBIDAEEQKDICBABRSHADAECQCBBRAMDAKJRNFYBQQBIHEUUQEAIBAUHQCBQFA4,Freljord|Noxus|Shadow Isles,40,82.5,1,14.3118,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
8,CUCQCAIFGEAQOBICAEEAKFICAYFBUHYCAYER2LYFAEAQKIABAYGACAIGAUWQCCIFBUBAQBISFIBQCCAFFEBAIBIQCECACBIBAMOSC,Bandle City|F08|F16|Ionia|Mount Targon|Runeterra|Shadow Isles,36,77.8,1,13.0348,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
9,CQCQCAIFAEAQKBIDAEDAKLQCAQCTKNYCBACQOKQGAEDAKLIBBABRYAIJBIKAEAIFEAYQEBAFAQ3AECAFCIUQCAIEAU4A,Bandle City|Noxus|Piltover & Zaun|Shadow Isles,40,82.5,1,14.3572,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
10,CEBQCCABCMBAKBACAYCACBAIDE2DUBYBAMAQEAIDAQFQCBABBIAQOBARAEEAIGACAEAQIKQCAUCAUDQBAEAQCHQ,Freljord|Piltover & Zaun,40,100.0,1,14.6977,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
11,CQCQCCAKAUAQQBAYAIDQUCIUAMCQIAQGBICACBAIDE2DUAYBAUFEMAIFAQHACBYECEAQCBIKUQAQ,Bandle City|Piltover & Zaun|Shadow Isles,40,100.0,1,15.3992,CUDACBQGDIAQMAAKAEDAEIQBAYBSEAIGA4CQCBQFAYDQCBQKDQAQMAALAEDAEGICAYAREIQCAYCAOCACAYGAKGQCAYDQIKAA,IntoTheDusk,135,1.0,Bandle City|Bilgewater|Demacia|Freljord|Ionia|Noxus|Piltover & Zaun|Runeterra|Shadow Isles|Shurima
